group,SuperCook,CookVentory,Comment
1,"convenient, unpredictable, intuitive, practical","impressive, slow, intuitive, unpredictable",Great Start! I could see myself using this in the future when I start relying on myself for food and can just find a recipe for whatever is going off expiration date. 1: ingredient searching needs more work in that my input doesn't always produce an option in the results. 2: barcode scanning does not work for anything but pasta. Would be useful in the US where most stuff is barcoded.
1,"unpredictable, responsive, inefficient, convenient","satisfying, responsive, convenient, practical",SuperCook was okay couldn't really find 2 of the ingredient so I had look for things that was close to them. CookVentory was pretty straightforward and simple. 
1,"practical, intuitive, consistent, unpredictable","practical, reliable, intuitive, impressive","SuperCook was a bit challenging at first, and ultimately I only found 1 useful recipe. However CookVentory was very easy and reliable, as I found several recipes quickly. "
1,"slow, intuitive, stressful, practical","intuitive, satisfying, impressive, responsive","The first app (SuperCook) took me a little longer to figure out than the second one but wasn't that hard to figure out anyways. I also notice it was very slow and made it kind of stressful. The second app I thought was so dope, and it was extremely easy to use. My one complaint however was that I couldn't do anything past scanning. the ingredients unless that's all it's meant to do. "
1,"confusing, stressful, practical, slow","satisfying, convenient, impressive, reliable","(SuperCook) A bit frustrating b/c the ingredients didn't show up when typing them in, The categories were also very limited. It didn't help in terms of finding relevant recipes. (CookVentory) Super cool and efficient because the bar codes were able to pull up exact ingredient. So much easier and convenient. "
1,"slow, intuitive, stressful, practical","responsive, satisfying, practical, intuitive",SuperCook was hard to navigate and typing in was not usable for salt and pepper and was even hard to find under categories. CookVentory was much easier to use the picture function and was more user friendly.
1,"inefficient, slow, convenient, unpredictable","impressive, confusing, stressful, inefficient",CookVentory's scanning was really cool but once it showed me recipes I wasn't really sure what to do. Clicking on recipes didn't do anything. SuperCook needs to have boarder search. Red pepper flakes should equal crushed red p. 
1,"confusing, unpredictable, stressful, practical","confusing, impressive, unpredictable, practical","I was a little confused throughout the process, The first app didn't have the ingredients that I had. That took a lot of time trying to figure out how that worked, The second app was less stressful. I took pictures in my pantry and it showed up in my top picks."
1,"irrelevant, responsive, inefficient, distracting","reliable, convenient, practical, satisfying","SuperCook overall did not contain enough possible ingredient to actually create a dish with pasta. I would have preferred it to use all or most of the ingredients. I like that it redirected. I really like CookVentory and it is satisfying to scan, The only thing is I wish it also redirected to a site with the recipes. "
1,"distracting, intuitive, satisfying, consistent","impressive, confusing, unpredictable, busy","Although SuperCook is a little old-school, it tell you which ingredient from a recipe you're missing and it is easier to use. CookVentory is very cool and looks like the next and better version. My problem with it, is that I don't know that I'm missing from a recipe and when I input the bar if the ingredient it sometimes reads the bar 2 or 3 times at one go and sometimes it doesn't read it all. But great job!  "
1,"slow, stressful, irrelevant, inefficient","confusing, convenient, satisfying, responsive",SuperCook is a useless app that I would undownload immediately. Frustrating and lacking basic ingredient inventory to draw from. CookVentory was confusing at first and as soon as I figured out the barcode function I was IN LOVE. Would download.  
1,"slow, confusing, unpredictable, stressful","intuitive, practical, stressful, unpredictable","SuperCook: They didn't even have salt as a option I could select. Like, come on! Overall, it has limited utility. CookVentory: Initial setup was initially impressive. Figured out quickly how to scan items. Flat surfaces were good, curved surfaces wouldn't scan. Phone died before I could do anything else with it. "
